Estimate,Trial Number
3.06161,422
3.06383,423
3.06604,424
3.06824,425
3.07042,426
3.0726,427
3.07477,428
3.07692,429
3.07907,430
3.08121,431
3.08333,432
3.07621,433
3.07834,434
3.08046,435
3.08257,436
3.08467,437
3.08676,438
3.08884,439
3.09091,440
3.09297,441
3.09502,442
3.09707,443
3.0991,444
3.10112,445
3.09417,446
3.0962,447
3.09821,448
3.10022,449
3.10222,450
3.10421,451
3.09735,452
3.09934,453
3.09251,454
3.09451,455
3.08772,456
3.08096,457
3.08297,458
3.08497,459
3.08696,460
3.08894,461
3.09091,462
3.09287,463
3.09483,464
3.09677,465
3.09013,466
3.09208,467
3.08547,468
3.08742,469
3.08085,470
3.0828,471
3.08475,472
3.07822,473
3.07173,474
3.07368,475
3.06723,476
3.06918,477
3.07113,478
3.07307,479
3.075,480
3.07692,481
3.07054,482
3.06418,483
3.06612,484
3.06804,485
3.06996,486
3.07187,487
3.07377,488
3.07566,489
3.06939,490
3.07128,491
3.06504,492
3.06694,493
3.06073,494
3.05455,495
3.05645,496
3.05835,497
3.06024,498
3.05411,499
3.048,500
3.04192,501
3.04382,502
3.04573,503
3.04762,504
3.0495,505
3.05138,506
3.05325,507
3.04724,508
3.04912,509
3.05098,510
3.05284,511
3.05469,512
3.05653,513
3.05837,514
3.06019,515
3.05426,516
3.05609,517
3.05791,518
3.05973,519
3.06154,520
3.05566,521
3.05747,522
3.05927,523
3.05344,524
3.05524,525
3.05703,526
3.05882,527
3.05303,528
3.04726,529
3.04906,530
3.04331,531
3.04511,532
3.0469,533
3.04869,534
3.05047,535
3.05224,536
3.054,537
3.05576,538
3.05751,539
3.05926,540
3.061,541
3.06273,542
3.06446,543
3.06618,544
3.06789,545
3.0696,546
3.0713,547
3.07299,548
3.07468,549
3.07636,550
3.07804,551
3.07971,552
3.08137,553
3.08303,554
3.08468,555
3.08633,556
3.08797,557
3.08961,558
3.09123,559
3.09286,560
3.09447,561
3.09609,562
3.09769,563
3.0922,564
3.09381,565
3.09541,566
3.097,567
3.09859,568
3.10018,569
3.09474,570
3.09632,571
3.0979,572
3.0925,573
3.09408,574
3.09565,575
3.09722,576
3.09879,577
3.09343,578
3.09499,579
3.09655,580
3.09811,581
3.09966,582
3.1012,583
3.10274,584
3.10427,585
3.1058,586
3.10051,587
3.10204,588
3.10357,589
3.10508,590
3.1066,591
3.10811,592
3.10961,593
3.11111,594
3.11261,595
3.10738,596
3.10218,597
3.10368,598
3.10518,599
3.10667,600
3.10815,601
3.10963,602
3.11111,603
3.11258,604
3.11405,605
3.11551,606
3.11038,607
3.11184,608
3.1133,609
3.1082,610
3.10966,611
3.10458,612
3.10604,613
3.10098,614
3.09593,615
3.0974,616
3.09887,617
3.09385,618
3.09531,619
3.09677,620
3.09179,621
3.09325,622
3.0947,623
3.09615,624
3.0912,625
3.08626,626
3.08772,627
3.08917,628
3.09062,629
3.09206,630
3.08716,631
3.08228,632
3.08373,633
3.08517,634
3.08661,635
3.08805,636
3.08948,637
3.08464,638
3.08607,639
3.0875,640
3.08268,641
3.07788,642
3.07932,643
3.08075,644
3.08217,645
3.08359,646
3.08501,647
3.08025,648
3.08166,649
3.07692,650
3.07834,651
3.07975,652
3.08116,653
3.07645,654
3.07176,655
3.07317,656
3.07458,657
3.07599,658
3.07739,659
3.07879,660
3.08018,661
3.08157,662
3.08296,663
3.07831,664
3.0797,665
3.08108,666
3.08246,667
3.07784,668
3.07922,669
3.0806,670
3.08197,671
3.07738,672
3.07281,673
3.07418,674
3.07556,675
3.07692,676
3.07238,677
3.07375,678
3.07511,679
3.07059,680
3.07195,681
3.07331,682
3.07467,683
3.07018,684
3.06569,685
3.06706,686
3.06841,687
3.06977,688
3.06531,689
3.06667,690
3.06802,691
3.06936,692
3.06493,693
3.06628,694
3.06763,695
3.06322,696
3.06456,697
3.0659,698
3.06152,699
3.05714,700
3.05849,701
3.05983,702
3.06117,703
3.0625,704
3.05816,705
3.05949,706
3.06082,707
3.06215,708
3.06347,709
3.06479,710
3.0661,711
3.06742,712
3.06872,713
3.07003,714
3.06573,715
3.06704,716
3.06834,717
3.06964,718
3.07093,719
3.07222,720
3.07351,721
3.06925,722
3.06501,723
3.0663,724
3.06759,725
3.06336,726
3.05915,727
3.05494,728
3.05624,729
3.05753,730
3.05335,731
3.04918,732
3.05048,733
3.04632,734
3.04218,735
3.04348,736
3.04478,737
3.04607,738
3.04736,739
3.04865,740
3.04993,741
3.05121,742
3.05249,743
3.05376,744
3.05503,745
3.0563,746
3.05756,747
3.05882,748
3.06008,749
3.06133,750
3.06258,751
3.06383,752
3.06507,753
3.06631,754
3.06755,755
3.06349,756
3.06473,757
3.06069,758
3.06192,759
3.05789,760
3.05913,761
3.06037,762
3.0616,763
3.06283,764
3.06405,765
3.06005,766
3.06128,767
3.0625,768
3.06372,769
3.06493,770
3.06615,771
3.06736,772
3.06856,773
3.06977,774
3.07097,775
3.07217,776
3.06821,777
3.06427,778
3.06547,779
3.06667,780
3.06786,781
3.06905,782
3.07024,783
3.07143,784
3.07261,785
3.07379,786
3.07497,787
3.07614,788
3.07731,789
3.07848,790
3.07965,791
3.08081,792
3.08197,793
3.08312,794
3.08428,795
3.08543,796
3.08657,797
3.08772,798
3.08886,799
3.085,800
3.08115,801
3.08229,802
3.08344,803
3.08458,804
3.08075,805
3.08189,806
3.08302,807
3.07921,808
3.08035,809
3.08148,810
3.08261,811
3.08374,812
3.08487,813
3.086,814
3.08712,815
3.08824,816
3.08935,817
3.09046,818
3.09158,819
3.0878,820
3.08892,821
3.09002,822
3.09113,823
3.08738,824
3.08848,825
3.08959,826
3.08585,827
3.08696,828
3.08806,829
3.08916,830
3.09025,831
3.09135,832
3.08764,833
3.08873,834
3.08503,835
3.08612,836
3.08722,837
3.08831,838
3.08939,839
3.09048,840
3.09156,841
3.09264,842
3.09371,843
3.09479,844
3.09586,845
3.0922,846
3.09327,847
3.09434,848
3.09541,849
3.09647,850
3.09753,851
3.09859,852
3.09965,853
3.1007,854
3.09708,855
3.09813,856
3.09918,857
3.10023,858
3.10128,859
3.09767,860
3.09872,861
3.09977,862
3.09618,863
3.09722,864
3.09827,865
3.09931,866
3.10035,867
3.09677,868
3.09321,869
3.08966,870
3.0907,871
3.09174,872
3.09278,873
3.09382,874
3.09486,875
3.09589,876
3.09692,877
3.09795,878
3.09443,879
3.09545,880
3.09648,881
3.09751,882
3.09853,883
3.09502,884
3.09153,885
3.09255,886
3.08906,887
3.09009,888
3.09111,889
3.09213,890
3.09315,891
3.08969,892
3.09071,893
3.09172,894
3.09274,895
3.08929,896
3.0903,897
3.09131,898
3.09232,899
3.09333,900
3.09434,901
3.09534,902
3.09635,903
3.09735,904
3.09392,905
3.09492,906
3.09151,907
3.09251,908
3.09351,909
3.09451,910
3.0955,911
3.09649,912
3.0931,913
3.09409,914
3.09071,915
3.0917,916
3.09269,917
3.09368,918
3.09467,919
3.09565,920
3.09663,921
3.09761,922
3.09426,923
3.09524,924
3.09622,925
3.09287,926
3.08954,927
3.09052,928
3.0915,929
3.09247,930
3.09345,931
3.09442,932
3.09539,933
3.09636,934
3.09733,935
3.09829,936
3.09925,937
3.10021,938
3.10117,939
3.09787,940
3.09883,941
3.09554,942
3.0965,943
3.09746,944
3.09418,945
3.09091,946
3.08765,947
3.08861,948
3.08957,949
3.09053,950
3.09148,951
3.09244,952
3.09339,953
3.09434,954
3.0911,955
3.09205,956
3.093,957
3.09395,958
3.09072,959
3.0875,960
3.08845,961
3.0894,962
3.09034,963
3.08714,964
3.08808,965
3.08903,966
3.08997,967
3.09091,968
3.08772,969
3.08866,970
3.0896,971
3.09053,972
3.09147,973
3.0924,974
3.09333,975
3.09426,976
3.09519,977
3.09611,978
3.09704,979
3.09796,980
3.0948,981
3.09165,982
3.09257,983
3.08943,984
3.08629,985
3.08722,986
3.08815,987
3.08502,988
3.0819,989
3.07879,990
3.07972,991
3.08065,992
3.08157,993
3.08249,994
3.08342,995
3.08434,996
3.08526,997
3.08617,998
3.08709,999
3.088,1000
3.08891,1001
3.08982,1002
3.09073,1003
3.09163,1004
3.09254,1005
3.09344,1006
3.09434,1007
3.09524,1008
3.09613,1009
3.09703,1010
3.09792,1011
3.09881,1012
3.09576,1013
3.09665,1014
3.09754,1015
3.09843,1016
3.09931,1017
3.1002,1018
3.10108,1019
3.09804,1020
3.09892,1021
3.0998,1022
3.10068,1023
3.10156,1024
3.10244,1025
3.10331,1026
3.10419,1027
3.10117,1028
3.10204,1029
3.10291,1030
3.0999,1031
3.10078,1032
3.10165,1033
3.10251,1034
3.10338,1035
3.10425,1036
3.10511,1037
3.10597,1038
3.10298,1039
3.1,1040
3.10086,1041
3.10173,1042
3.10259,1043
3.10345,1044
3.10431,1045
3.10134,1046
3.1022,1047
3.10305,1048
3.10391,1049
3.10476,1050
3.10561,1051
3.10266,1052
3.10351,1053
3.10436,1054
3.10521,1055
3.10227,1056
3.10312,1057
3.10019,1058
3.09726,1059
3.09434,1060
3.09519,1061
3.09605,1062
3.0969,1063
3.09774,1064
3.09484,1065
3.09568,1066
3.09653,1067
3.09738,1068
3.09822,1069
3.09533,1070
3.09244,1071
3.09328,1072
3.09413,1073
3.09497,1074
3.09581,1075
3.09294,1076
3.09378,1077
3.09091,1078
3.08804,1079
3.08889,1080
3.08973,1081
3.08688,1082
3.08772,1083
3.08856,1084
3.0894,1085
3.08656,1086
3.0874,1087
3.08824,1088
3.0854,1089
3.08257,1090
3.08341,1091
3.08425,1092
3.08509,1093
3.08592,1094
3.08676,1095
3.08759,1096
3.08842,1097
3.08925,1098
3.09008,1099
3.09091,1100
3.0881,1101
3.0853,1102
3.08613,1103
3.08696,1104
3.08416,1105
3.08499,1106
3.08582,1107
3.08664,1108
3.08386,1109
3.08468,1110
3.08551,1111
3.08633,1112
3.08715,1113
3.08797,1114
3.08879,1115
3.08961,1116
3.08684,1117
3.08408,1118
3.0849,1119
3.08571,1120
3.08653,1121
3.08734,1122
3.08816,1123
3.08897,1124
3.08622,1125
3.08703,1126
3.08784,1127
3.08865,1128
3.08946,1129
3.09027,1130
3.09107,1131
3.09187,1132
3.09267,1133
3.09347,1134
3.09075,1135
3.09155,1136
3.09235,1137
3.09315,1138
3.09394,1139
3.09123,1140
3.08852,1141
3.08932,1142
3.09011,1143
3.09091,1144
3.08821,1145
3.08901,1146
3.0898,1147
3.08711,1148
3.08442,1149
3.08522,1150
3.08601,1151
3.08681,1152
3.08413,1153
3.08146,1154
3.07879,1155
3.07958,1156
3.08038,1157
3.08117,1158
3.08197,1159
3.08276,1160
3.08355,1161
3.08434,1162
3.08512,1163
3.08591,1164
3.0867,1165
3.08748,1166
3.08826,1167
3.08904,1168
3.08982,1169
3.0906,1170
3.09137,1171
3.09215,1172
3.08951,1173
3.09029,1174
3.09106,1175
3.08844,1176
3.08921,1177
3.08659,1178
3.08736,1179
3.08814,1180
3.08891,1181
3.08968,1182
3.09045,1183
3.09122,1184
3.09198,1185
3.08938,1186
3.09014,1187
3.09091,1188
3.08831,1189
3.08908,1190
3.08984,1191
3.0906,1192
3.09137,1193
3.09213,1194
3.09289,1195
3.09365,1196
3.0944,1197
3.09516,1198
3.09258,1199
3.09333,1200
3.09409,1201
3.09151,1202
3.08894,1203
3.0897,1204
3.09046,1205
3.09121,1206
3.08865,1207
3.08609,1208
3.08685,1209
3.0843,1210
3.08175,1211
3.08251,1212
3.08326,1213
3.08402,1214
3.08477,1215
3.08553,1216
3.08299,1217
3.08374,1218
3.0845,1219
3.08525,1220
3.08272,1221
3.08347,1222
3.08422,1223
3.08497,1224
3.08571,1225
3.08646,1226
3.0872,1227
3.08795,1228
3.08869,1229
3.08943,1230
3.09017,1231
3.09091,1232
3.0884,1233
3.08914,1234
3.08988,1235
3.09061,1236
3.08812,1237
3.08885,1238
3.08636,1239
3.0871,1240
3.08783,1241
3.08535,1242
3.08608,1243
3.08682,1244
3.08755,1245
3.08828,1246
3.08901,1247
3.08654,1248
3.08727,1249
3.088,1250
3.08553,1251
3.08307,1252
3.0838,1253
3.08453,1254
3.08526,1255
3.08599,1256
3.08671,1257
3.08426,1258
3.08181,1259
3.08254,1260
3.08327,1261
3.08082,1262
3.07838,1263
3.07911,1264
3.07984,1265
3.08057,1266
3.08129,1267
3.08202,1268
3.08274,1269
3.08346,1270
3.08419,1271
3.08176,1272
3.08248,1273
3.0832,1274
3.08078,1275
3.0815,1276
3.08222,1277
3.08294,1278
3.08366,1279
3.08437,1280
3.08509,1281
3.0858,1282
3.08652,1283
3.08723,1284
3.08794,1285
3.08865,1286
3.08625,1287
3.08696,1288
3.08766,1289
3.08837,1290
3.08908,1291
3.08978,1292
3.09049,1293
3.0881,1294
3.0888,1295
3.08951,1296
3.09021,1297
3.09091,1298
3.09161,1299
3.09231,1300
3.09301,1301
3.0937,1302
3.0944,1303
3.09509,1304
3.09272,1305
3.09342,1306
3.09411,1307
3.0948,1308
3.09244,1309
3.09313,1310
3.09382,1311
3.09146,1312
3.09216,1313
3.09285,1314
3.09354,1315
3.09422,1316
3.09188,1317
3.09256,1318
3.09325,1319
3.09394,1320
3.09463,1321
3.09531,1322
3.09297,1323
3.09366,1324
3.09132,1325
3.09201,1326
3.08968,1327
3.08735,1328
3.08804,1329
3.08571,1330
3.0864,1331
3.08709,1332
3.08777,1333
3.08846,1334
3.08914,1335
3.08982,1336
3.0905,1337
3.08819,1338
3.08887,1339
3.08955,1340
3.09023,1341
3.08793,1342
3.08861,1343
3.08631,1344
3.08699,1345
3.08767,1346
3.08834,1347
3.08902,1348
3.0897,1349
3.08741,1350
3.08808,1351
3.08876,1352
3.08943,1353
3.0901,1354
3.09078,1355
3.09145,1356
3.09211,1357
3.09278,1358
3.09051,1359
3.09118,1360
3.08891,1361
3.08957,1362
3.09024,1363
3.09091,1364
3.09158,1365
3.09224,1366
3.0929,1367
3.09357,1368
3.09423,1369
3.09489,1370
3.09555,1371
3.09621,1372
3.09395,1373
3.09461,1374
3.09527,1375
3.09302,1376
3.09078,1377
3.09144,1378
3.0892,1379
3.08985,1380
3.08762,1381
3.08828,1382
3.08894,1383
3.0896,1384
3.09025,1385
3.08802,1386
3.08868,1387
3.08934,1388
3.08999,1389
3.09065,1390
3.0913,1391
3.09195,1392
3.09261,1393
3.09326,1394
3.09391,1395
3.09456,1396
3.0952,1397
3.09585,1398
3.0965,1399
3.09429,1400
3.09493,1401
3.09558,1402
3.09622,1403
3.09687,1404
3.09751,1405
3.09815,1406
3.09879,1407
3.09659,1408
3.09439,1409
3.09504,1410
3.09568,1411
3.09632,1412
3.09696,1413
3.0976,1414
3.09823,1415
3.09887,1416
3.09951,1417
3.10014,1418
3.10078,1419
3.10141,1420
3.10204,1421
3.10267,1422
3.10049,1423
3.10112,1424
3.10175,1425
3.10238,1426
3.10301,1427
3.10364,1428
3.10147,1429
3.1021,1430
3.10273,1431
3.10335,1432
3.10398,1433
3.1046,1434
3.10523,1435
3.10585,1436
3.10647,1437
3.10709,1438
3.10771,1439
3.10833,1440
3.10618,1441
3.1068,1442
3.10742,1443
3.10803,1444
3.10588,1445
3.1065,1446
3.10712,1447
3.10773,1448
3.10835,1449
3.10897,1450
3.10958,1451
3.10744,1452
3.1053,1453
3.10316,1454
3.10378,1455
3.1044,1456
3.10501,1457
3.10562,1458
3.1035,1459
3.10411,1460
3.10472,1461
3.10534,1462
3.10595,1463
3.10656,1464
3.10717,1465
3.10778,1466
3.10566,1467
3.10627,1468
3.10688,1469
3.10748,1470
3.10809,1471
3.1087,1472
3.1093,1473
3.10991,1474
3.11051,1475
3.11111,1476
3.11171,1477
3.11231,1478
3.11291,1479
3.11351,1480
3.11411,1481
3.11201,1482
3.11261,1483
3.11321,1484
3.1138,1485
3.1144,1486
3.115,1487
3.11559,1488
3.11619,1489
3.11678,1490
3.11469,1491
3.1126,1492
3.11319,1493
3.11379,1494
3.11438,1495
3.11497,1496
3.11556,1497
3.11348,1498
3.11408,1499
3.11467,1500
3.11526,1501
3.11585,1502
3.11377,1503
3.11436,1504
3.11229,1505
3.11288,1506
3.11347,1507
3.11406,1508
3.11199,1509
3.11258,1510
3.11317,1511
3.11376,1512
3.11434,1513
3.11493,1514
3.11287,1515
3.11082,1516
3.1114,1517
3.11199,1518
3.11257,1519
3.11053,1520
3.11111,1521
3.1117,1522
3.11228,1523
3.11286,1524
3.11344,1525
3.11402,1526
3.11198,1527
3.11257,1528
3.11315,1529
3.11373,1530
3.1143,1531
3.11488,1532
3.11285,1533
3.11082,1534
3.1114,1535
3.11198,1536
3.11256,1537
3.11053,1538
3.11111,1539
3.10909,1540
3.10967,1541
3.11025,1542
3.11082,1543
3.1114,1544
3.11197,1545
3.11255,1546
3.11312,1547
3.1137,1548
3.11427,1549
3.11226,1550
3.11025,1551
3.11082,1552
3.1114,1553
3.1094,1554
3.10997,1555
3.11054,1556
3.10854,1557
3.10911,1558
3.10969,1559
3.11026,1560
3.11083,1561
3.1114,1562
3.11196,1563
3.11253,1564
3.11054,1565
3.11111,1566
3.11168,1567
3.11224,1568
3.11281,1569
3.11338,1570
3.11394,1571
3.1145,1572
3.11252,1573
3.11309,1574
3.11365,1575
3.11168,1576
3.11224,1577
3.1128,1578
3.11336,1579
3.11392,1580
3.11448,1581
3.11252,1582
3.11308,1583
3.11364,1584
3.1142,1585
3.11475,1586
3.11279,1587
3.11335,1588
3.11391,1589
3.11447,1590
3.11251,1591
3.11055,1592
3.1086,1593
3.10916,1594
3.10972,1595
3.11028,1596
3.11083,1597
3.11139,1598
3.10944,1599
3.11,1600
3.11056,1601
3.10861,1602
3.10667,1603
3.10723,1604
3.10779,1605
3.10834,1606
3.1089,1607
3.10945,1608
3.11001,1609
3.10807,1610
3.10863,1611
3.1067,1612
3.10725,1613
3.10781,1614
3.10836,1615
3.10891,1616
3.10946,1617
3.10754,1618
3.10809,1619
3.10864,1620
3.10919,1621
3.10974,1622
3.11029,1623
3.11084,1624
3.10892,1625
3.10947,1626
3.11002,1627
3.10811,1628
3.10866,1629
3.1092,1630
3.10975,1631
3.11029,1632
3.11084,1633
3.11138,1634
3.11193,1635
3.11247,1636
3.11301,1637
3.11355,1638
3.11409,1639
3.11463,1640
3.11274,1641
3.11084,1642
3.11138,1643
3.11192,1644
3.11246,1645
3.113,1646
3.11354,1647
3.11408,1648
3.11461,1649
3.11273,1650
3.11084,1651
3.10896,1652
3.10708,1653
3.10762,1654
3.10574,1655
3.10628,1656
3.10441,1657
3.10495,1658
3.10549,1659
3.10602,1660
3.10656,1661
3.10469,1662
3.10523,1663
3.10337,1664
3.1039,1665
3.10444,1666
3.10498,1667
3.10312,1668
3.10365,1669
3.10419,1670
3.10473,1671
3.10287,1672
3.10102,1673
3.10155,1674
3.10209,1675
3.10263,1676
3.10316,1677
3.10369,1678
3.10423,1679
3.10238,1680
3.10292,1681
3.10345,1682
3.10398,1683
3.10451,1684
3.10504,1685
3.1032,1686
3.10373,1687
3.10427,1688
3.1048,1689
3.10533,1690
3.10585,1691
3.10638,1692
3.10455,1693
3.10272,1694
3.10088,1695
3.10142,1696
3.09959,1697
3.10012,1698
3.09829,1699
3.09882,1700
3.097,1701
3.09753,1702
3.09806,1703
3.09859,1704
3.09912,1705
3.09965,1706
3.10018,1707
3.1007,1708
3.10123,1709
3.09942,1710
3.09994,1711
3.09813,1712
3.09866,1713
3.09918,1714
3.09971,1715
3.10023,1716
3.10076,1717
3.09895,1718
3.09948,1719
3.1,1720
3.0982,1721
3.0964,1722
3.09692,1723
3.09513,1724
3.09565,1725
3.09618,1726
3.0967,1727
3.09722,1728
3.09543,1729
3.09595,1730
3.09648,1731
3.09469,1732
3.09521,1733
3.09573,1734
3.09395,1735
3.09217,1736
3.09269,1737
3.09321,1738
3.09143,1739
3.08966,1740
3.09018,1741
3.0884,1742
3.08893,1743
3.08945,1744
3.08997,1745
3.09049,1746
3.09101,1747
3.09153,1748
3.09205,1749
3.09257,1750
3.09309,1751
3.09361,1752
3.09412,1753
3.09464,1754
3.09288,1755
3.09112,1756
3.09163,1757
3.09215,1758
3.09267,1759
3.09318,1760
3.0937,1761
3.09194,1762
3.09246,1763
3.09297,1764
3.09122,1765
3.09173,1766
3.09225,1767
3.0905,1768
3.09101,1769
3.09153,1770
3.09204,1771
3.09255,1772
3.09306,1773
3.09357,1774
3.09408,1775
3.09459,1776
3.0951,1777
3.09336,1778
3.09387,1779
3.09438,1780
3.09489,1781
3.0954,1782
3.09591,1783
3.09641,1784
3.09692,1785
3.09742,1786
3.09793,1787
3.09843,1788
3.09894,1789
3.09944,1790
3.09994,1791
3.10045,1792
3.10095,1793
3.10145,1794
3.10195,1795
3.10245,1796
3.10295,1797
3.10345,1798
3.10395,1799
3.10444,1800
3.10494,1801
3.10544,1802
3.10372,1803
3.10421,1804
3.10471,1805
3.1052,1806
3.1057,1807
3.10619,1808
3.10669,1809
3.10718,1810
3.10768,1811
3.10817,1812
3.10645,1813
3.10695,1814
3.10523,1815
3.10573,1816
3.10622,1817
3.10671,1818
3.1072,1819
3.10769,1820
3.10818,1821
3.10867,1822
3.10916,1823
3.10965,1824
3.10795,1825
3.10624,1826
3.10673,1827
3.10722,1828
3.10771,1829
3.10601,1830
3.1065,1831
3.10699,1832
3.10747,1833
3.10578,1834
3.10409,1835
3.10458,1836
3.10506,1837
3.10555,1838
3.10604,1839
3.10652,1840
3.10701,1841
3.10749,1842
3.10581,1843
3.10629,1844
3.10678,1845
3.10726,1846
3.10774,1847
3.10606,1848
3.10654,1849
3.10486,1850
3.10319,1851
3.10367,1852
3.10416,1853
3.10464,1854
3.10512,1855
3.1056,1856
3.10609,1857
3.10657,1858
3.10705,1859
3.10753,1860
3.10801,1861
3.10849,1862
3.10896,1863
3.10944,1864
3.10992,1865
3.10825,1866
3.10873,1867
3.10921,1868
3.10754,1869
3.10588,1870
3.10636,1871
3.10684,1872
3.10731,1873
3.10779,1874
3.10827,1875
3.10874,1876
3.10922,1877
3.10969,1878
3.11016,1879
3.11064,1880
3.10898,1881
